,Sr. No,Symbol,Name of the company,Last Price,Previous Close,Open,Day High,Day Low,Close Price
133,134,BALAJITELE,Balaji Telefilms Limited,129.15,129.20,129.65,130.10,127.65,0.00
134,135,BALAMINES,Balaji Amines Limited,611.00,588.40,588.00,618.00,588.00,612.85
135,136,BALKRISIND,Balkrishna Industries Limited,"1,090.00","1,086.50","1,096.70","1,096.70","1,050.10","1,089.70"
136,137,BALLARPUR,Ballarpur Industries Limited,11.15,10.90,10.95,11.25,10.75,11.05
137,138,BALMLAWRIE,Balmer Lawrie & Company Limited,211.85,206.35,206.45,212.10,206.45,210.15
138,139,BALPHARMA,Bal Pharma Limited,82.10,69.85,69.60,83.80,69.35,82.55
139,140,BALRAMCHIN,Balrampur Chini Mills Limited,71.20,69.80,70.60,71.40,68.30,70.35
140,141,BANARISUG,Bannari Amman Sugars Limited,"1,560.00","1,568.40","1,577.20","1,580.00","1,554.00","1,559.45"
141,142,BANCOINDIA,Banco Products (I) Limited,216.00,211.70,212.00,217.00,211.95,215.00
142,143,BANG,Bang Overseas Limited,42.00,41.40,41.25,42.20,41.00,42.05
143,144,BANKBARODA,Bank of Baroda,140.35,138.85,139.00,144.20,139.00,0.00
144,145,BANKINDIA,Bank of India,103.50,99.85,100.00,103.80,99.35,103.05
145,146,BANSWRAS,Banswara Syntex Limited,95.60,93.20,95.90,95.95,93.20,95.65
146,147,BARTRONICS,Bartronics India Limited,11.70,11.15,11.65,11.70,11.55,11.70
147,148,BASF,BASF India Limited,"1,990.00","1,981.95","1,998.05","2,020.95","1,981.10","2,003.50"
148,149,BASML,Bannari Amman Spinning Mills Limited,230.00,230.00,227.70,230.00,227.00,230.00
149,150,BATAINDIA,Bata India Limited,762.45,750.35,748.55,772.00,748.55,762.85
150,151,BATLIBOI,Batliboi Limited,0,0,0,0,0,0
151,152,BBL,Bharat Bijlee Limited,"1,411.00","1,408.45","1,412.10","1,420.00","1,402.00","1,408.60"
152,153,BBTC,Bombay Burmah Trading Corporation Limited,"1,502.00","1,484.30","1,497.00","1,514.65","1,480.15","1,505.05"
153,154,BEDMUTHA,Bedmutha Industries Limited,17.75,17.25,17.25,17.75,16.65,17.50
154,155,BEL,Bharat Electronics Limited,118.50,116.05,116.40,119.20,115.55,118.45
155,156,BELLCERATL,Bell Ceramics Limited,0,0,0,0,0,0
156,157,BEML,BEML Limited,949.00,932.65,936.90,997.00,935.00,951.40
157,158,BEPL,Bhansali Engineering Polymers Limited,163.00,165.70,166.20,166.40,162.85,163.30
158,159,BERGEPAINT,Berger Paints (I) Limited,296.30,293.25,293.00,300.00,287.90,296.45
159,160,BFINVEST,BF Investment Limited,295.95,292.25,293.40,307.00,287.10,296.80
160,161,BFUTILITIE,BF Utilities Limited,368.50,363.55,364.05,374.55,364.05,368.60
161,162,BGRENERGY,BGR Energy Systems Limited,93.75,92.25,92.40,94.80,91.10,93.70
162,163,BHAGWATIHO,Bhagwati Banquets and Hotels Limited,0,0,0,0,0,0
163,164,BHAGYNAGAR,Bhagyanagar India Limited,0,0,0,0,0,0
164,165,BHARATFORG,Bharat Forge Limited,666.20,642.50,644.00,670.90,644.00,666.65
165,166,BHARATGEAR,Bharat Gears Limited,174.00,165.40,165.40,176.00,163.30,171.80
166,167,BHARATRAS,Bharat Rasayan Limited,"5,600.00","5,613.15","5,682.60","5,750.00","5,587.00","5,612.90"
167,168,BHARTIARTL,Bharti Airtel Limited,377.60,371.90,372.30,380.00,367.00,376.95
